Student Name,StudyHours,SleepHours,SocialMedia,Exercise,AttentionLevel,Study Hours/Day.1,Sleep Hours.1,Cluster
Ananya,4,7,2,1,8,4,7,0
Rahul,6,6,3,0,7,6,6,2
Priya,2,8,5,1,5,2,8,1
Karthik,5,6,1,2,9,5,6,0
Sneha,3,7,4,0,6,3,7,1
Arjun,7,5,2,1,8,7,5,2
Meera,4,6,3,1,7,4,6,0
Nikhil,5,7,2,1,8,5,7,0
Riya,2,8,5,0,5,2,8,1
Varun,6,6,3,1,7,6,6,2
Divya,3,7,4,1,6,3,7,1
Kiran,5,6,2,2,9,5,6,0
Suresh,4,7,3,1,7,4,7,0
Kavya,2,8,4,0,6,2,8,1
Dev,6,5,3,1,8,6,5,2
Rohit,5,6,2,2,9,5,6,0
Sanjana,3,7,4,1,6,3,7,1
Deepa,4,6,3,1,7,4,6,0
